"DejaVu Sans";8;True;False;0;0;1;1
32;2;2;4;12;4;0
33;48;58;1;12;5;2
34;42;58;4;12;6;1
35;33;58;7;12;9;1
36;25;58;6;12;8;1
37;12;58;11;12;11;0
38;2;58;8;12;10;1
39;123;44;1;12;3;1
40;118;44;3;12;5;1
41;113;44;3;12;5;1
42;51;58;6;12;6;0
43;104;44;7;12;9;1
44;92;44;2;12;4;1
45;87;44;3;12;5;1
46;83;44;2;12;4;1
47;77;44;4;12;4;0
48;69;44;6;12;8;1
49;61;44;6;12;8;1
50;53;44;6;12;8;1
51;45;44;6;12;8;1
52;37;44;6;12;8;1
53;96;44;6;12;8;1
54;59;58;6;12;8;1
55;67;58;6;12;8;1
56;75;58;6;12;8;1
57;2;86;6;12;8;1
58;122;72;2;12;4;1
59;118;72;2;12;4;1
60;109;72;7;12;9;1
61;100;72;7;12;9;1
62;91;72;7;12;9;1
63;84;72;5;12;6;1
64;73;72;9;12;11;1
65;63;72;8;12;9;0
66;54;72;7;12;8;1
67;46;72;6;12;8;1
68;36;72;8;12;9;1
69;28;72;6;12;8;1
70;20;72;6;12;8;1
71;11;72;7;12;9;1
72;2;72;7;12;9;1
73;118;58;2;12;4;1
74;112;58;4;12;4;-1
75;102;58;8;12;9;1
76;94;58;6;12;7;1
77;83;58;9;12;11;1
78;28;44;7;12;9;1
79;18;44;8;12;9;1
80;9;44;7;12;8;1
81;66;16;8;12;9;1
82;52;16;7;12;8;1
83;44;16;6;12;8;1
84;35;16;7;12;8;0
85;26;16;7;12;9;1
86;16;16;8;12;9;0
87;2;16;12;12;12;0
88;108;2;8;12;8;0
89;98;2;8;12;8;0
90;90;2;6;12;8;1
91;61;16;3;12;5;1
92;84;2;4;12;4;0
93;72;2;3;12;5;1
94;63;2;7;12;9;1
95;55;2;6;12;6;0
96;50;2;3;12;6;1
97;41;2;7;12;7;0
98;33;2;6;12;8;1
99;25;2;6;12;7;0
100;17;2;6;12;8;1
101;8;2;7;12;7;0
102;77;2;5;12;5;0
103;76;16;6;12;8;1
104;40;30;6;12;8;1
105;84;16;2;12;4;1
106;119;30;3;12;4;0
107;110;30;7;12;7;1
108;106;30;2;12;4;1
109;94;30;10;12;11;1
110;86;30;6;12;8;1
111;77;30;7;12;8;0
112;69;30;6;12;8;1
113;61;30;6;12;8;1
114;55;30;4;12;5;1
115;2;44;5;12;7;1
116;48;30;5;12;5;0
117;32;30;6;12;8;1
118;23;30;7;12;7;0
119;11;30;10;12;10;0
120;2;30;7;12;7;0
121;113;16;7;12;7;0
122;106;16;5;12;6;1
123;99;16;5;12;8;1
124;95;16;2;12;4;1
125;88;16;5;12;8;1
126;10;86;7;12;9;1
9647;19;86;4;12;6;1
